gene	pathway
ENSG00000068912	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000085563	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000225452	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000041357	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000167972	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000099958	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000150991	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000134001	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000099341	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000115657	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000225989	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000243594	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000173692	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000100804	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000150967	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000236149	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000275331	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000143921	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000108344	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000230669	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000239836	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000001626	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000162735	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000159377	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000115233	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000103222	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000154258	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000197170	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000144452	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000222028	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000170315	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000006071	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
ENSG00000013275	ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT
