gene	reactome
A0A075B6P5	Hemostasis;Adaptive Immune System;Disease;Complement cascade;Initial triggering of complement;Creation of C4 and C2 activators;Innate Immune System;Immune System;Classical antibody-mediated complement activation;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell;Cell surface interactions at the vascular wall;Fcgamma receptor (FCGR) dependent phagocytosis;FCGR activation;Regulation of actin dynamics for phagocytic cup formation;Role of phospholipids in phagocytosis;Scavenging of heme from plasma;Binding and Uptake of Ligands by Scavenger Receptors;Fc epsilon receptor (FCERI) signaling;Role of LAT2/NTAL/LAB on calcium mobilization;FCERI mediated MAPK activation;FCERI mediated Ca+2 mobilization;FCERI mediated NF-kB activation;Vesicle-mediated transport;Infectious disease;CD22 mediated BCR regulation;Leishmania infection;Anti-inflammatory response favouring Leishmania parasite infection;FCGR3A-mediated IL10 synthesis;Parasite infection;Leishmania phagocytosis;FCGR3A-mediated phagocytosis;Leishmania parasite growth and survival;Regulation of Complement cascade;Antigen activates B Cell Receptor (BCR) leading to generation of second messengers;Signaling by the B Cell Receptor (BCR)
A0A075B6S6	Hemostasis;Adaptive Immune System;Disease;Complement cascade;Initial triggering of complement;Creation of C4 and C2 activators;Innate Immune System;Immune System;Classical antibody-mediated complement activation;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell;Cell surface interactions at the vascular wall;Fcgamma receptor (FCGR) dependent phagocytosis;FCGR activation;Regulation of actin dynamics for phagocytic cup formation;Role of phospholipids in phagocytosis;Scavenging of heme from plasma;Binding and Uptake of Ligands by Scavenger Receptors;Fc epsilon receptor (FCERI) signaling;Role of LAT2/NTAL/LAB on calcium mobilization;FCERI mediated MAPK activation;FCERI mediated Ca+2 mobilization;FCERI mediated NF-kB activation;Vesicle-mediated transport;Infectious disease;CD22 mediated BCR regulation;Leishmania infection;Anti-inflammatory response favouring Leishmania parasite infection;FCGR3A-mediated IL10 synthesis;Parasite infection;Leishmania phagocytosis;FCGR3A-mediated phagocytosis;Leishmania parasite growth and survival;Regulation of Complement cascade;Antigen activates B Cell Receptor (BCR) leading to generation of second messengers;Signaling by the B Cell Receptor (BCR)
A0A0A6YYK7	Adaptive Immune System;Immune System;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell;TCR signaling;Downstream TCR signaling;Phosphorylation of CD3 and TCR zeta chains;Translocation of ZAP-70 to Immunological synapse;Generation of second messenger molecules;Costimulation by the CD28 family;PD-1 signaling
A0A0C4DH25	Hemostasis;Adaptive Immune System;Disease;Complement cascade;Initial triggering of complement;Creation of C4 and C2 activators;Innate Immune System;Immune System;Classical antibody-mediated complement activation;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell;Cell surface interactions at the vascular wall;Fcgamma receptor (FCGR) dependent phagocytosis;FCGR activation;Regulation of actin dynamics for phagocytic cup formation;Role of phospholipids in phagocytosis;Scavenging of heme from plasma;Binding and Uptake of Ligands by Scavenger Receptors;Fc epsilon receptor (FCERI) signaling;Role of LAT2/NTAL/LAB on calcium mobilization;FCERI mediated MAPK activation;FCERI mediated Ca+2 mobilization;FCERI mediated NF-kB activation;Vesicle-mediated transport;Infectious disease;CD22 mediated BCR regulation;Leishmania infection;Anti-inflammatory response favouring Leishmania parasite infection;FCGR3A-mediated IL10 synthesis;Parasite infection;Leishmania phagocytosis;FCGR3A-mediated phagocytosis;Leishmania parasite growth and survival;Regulation of Complement cascade;Antigen activates B Cell Receptor (BCR) leading to generation of second messengers;Signaling by the B Cell Receptor (BCR)
A0A0C4DH73	Hemostasis;Adaptive Immune System;Disease;Complement cascade;Initial triggering of complement;Creation of C4 and C2 activators;Innate Immune System;Immune System;Classical antibody-mediated complement activation;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell;Cell surface interactions at the vascular wall;Fcgamma receptor (FCGR) dependent phagocytosis;FCGR activation;Regulation of actin dynamics for phagocytic cup formation;Role of phospholipids in phagocytosis;Scavenging of heme from plasma;Binding and Uptake of Ligands by Scavenger Receptors;Fc epsilon receptor (FCERI) signaling;Role of LAT2/NTAL/LAB on calcium mobilization;FCERI mediated MAPK activation;FCERI mediated Ca+2 mobilization;FCERI mediated NF-kB activation;Vesicle-mediated transport;Infectious disease;CD22 mediated BCR regulation;Leishmania infection;Anti-inflammatory response favouring Leishmania parasite infection;FCGR3A-mediated IL10 synthesis;Parasite infection;Leishmania phagocytosis;FCGR3A-mediated phagocytosis;Leishmania parasite growth and survival;Regulation of Complement cascade;Antigen activates B Cell Receptor (BCR) leading to generation of second messengers;Signaling by the B Cell Receptor (BCR)
A0A183	Developmental Biology;Keratinization;Formation of the cornified envelope
A0AVF1	Organelle biogenesis and maintenance;Cilium Assembly;Intraflagellar transport
A0AVI4	Metabolism of proteins;Post-translational protein modification;Protein ubiquitination;E3 ubiquitin ligases ubiquitinate target proteins
A0AVK6	Generic Transcription Pathway;Transcriptional Regulation by TP53;TP53 Regulates Transcription of Cell Cycle Genes;TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest;RNA Polymerase II Transcription;Gene expression (Transcription)
A0AVT1	Adaptive Immune System;Immune System;Metabolism of proteins;Post-translational protein modification;Protein ubiquitination;Synthesis of active ubiquitin: roles of E1 and E2 enzymes;Antigen processing: Ubiquitination & Proteasome degradation;Class I MHC mediated antigen processing & presentation
A0FGR8	Metabolism;Glycosphingolipid metabolism;Sphingolipid metabolism;Metabolism of lipids
A0FGR9	Metabolism;Glycosphingolipid metabolism;Sphingolipid metabolism;Metabolism of lipids
